289,1481,1130,4922,4894,9990,5314,3764,5645,20448,0,
585,1887,2048,3682,3651,10005,3697,2912,3875,18324,1,
251,894,595,5692,5683,9991,6487,5258,6195,8027,0,
865,3418,2786,3501,3484,10000,4303,3255,3945,21281,0,
642,1224,1172,2136,2114,10047,4400,1741,2318,6340,0,
102,782,494,10296,10263,9996,11610,9620,10944,15838,0,
351,906,1323,9764,9685,10039,10013,6528,9994,29012,1,
107,595,370,6645,6618,9985,6703,3512,7144,4989,0,
158,369,594,3566,3444,10170,5358,2950,3325,483,0,
7,59,47,5285,5215,10000,7086,3260,6030,205,1,
70,265,240,24730,24600,9863,27497,16079,26414,8597,0,
238,780,564,575,572,9913,576,290,527,312,0,
189,1007,898,5970,5920,9960,6053,5006,5883,9706,1,
94,459,375,15248,15206,9993,18279,13913,16374,14169,1,
1958,5648,3188,1170,1134,9956,1565,826,1434,1123,1,
372,1439,924,21736,21731,10018,21867,8477,21143,12963,0,
3,168,141,8800,8759,10000,9463,3716,10415,1391,0,
5,171,389,15269,15139,10021,15765,10731,16751,1396,1,
6,306,183,17306,17225,10000,18318,15000,17885,7528,1,
2,4,4,20540,20385,10000,24954,15721,14400,192,1,
456,1473,1147,18373,18256,9997,18373,11400,20683,53147,1,
820,2800,2058,17508,17505,10005,17624,10825,18774,89537,0,
354,1552,1343,3910,3900,9946,4899,2525,5070,5539,0,
570,1755,1667,19073,19049,9959,19175,8601,20879,48858,0,
323,328,283,121341,120266,10140,121341,73670,122732,58066,1,
513,1933,1752,8397,8331,10011,8620,5880,9172,64752,1,
205,597,748,31343,31325,9933,38961,18000,31600,5283,0,
38,131,94,105000,104000,9987,105000,737025,110086,73405,1,
